"Tag" "Zeitspanne" "Eruptionsdauer"
"1" 1 78 4.4
"2" 1 74 3.9
"3" 1 68 4
"4" 1 76 4
"5" 1 80 3.5
"6" 1 84 4.1
"7" 1 50 2.3
"8" 1 93 4.7
"9" 1 55 1.7
"10" 1 76 4.9
"11" 1 58 1.7
"12" 1 74 4.6
"13" 1 75 3.4
"14" 2 80 4.3
"15" 2 56 1.7
"16" 2 80 3.9
"17" 2 69 3.7
"18" 2 57 3.1
"19" 2 90 4
"20" 2 42 1.8
"21" 2 91 4.1
"22" 2 51 1.8
"23" 2 79 3.2
"24" 2 53 1.9
"25" 2 82 4.6
"26" 2 51 2
"27" 3 76 4.5
"28" 3 82 3.9
"29" 3 84 4.3
"30" 3 53 2.3
"31" 3 86 3.8
"32" 3 51 1.9
"33" 3 85 4.6
"34" 3 45 1.8
"35" 3 88 4.7
"36" 3 51 1.8
"37" 3 80 4.6
"38" 3 49 1.9
"39" 3 82 3.5
"40" 4 75 4
"41" 4 73 3.7
"42" 4 67 3.7
"43" 4 68 4.3
"44" 4 86 3.6
"45" 4 72 3.8
"46" 4 75 3.8
"47" 4 75 3.8
"48" 4 66 2.5
"49" 4 84 4.5
"50" 4 70 4.1
"51" 4 79 3.7
"52" 4 60 3.8
"53" 4 86 3.4
"54" 5 71 4
"55" 5 67 2.3
"56" 5 81 4.4
"57" 5 76 4.1
"58" 5 83 4.3
"59" 5 76 3.3
"60" 5 55 2
"61" 5 73 4.3
"62" 5 56 2.9
"63" 5 83 4.6
"64" 5 57 1.9
"65" 5 71 3.6
"66" 5 72 3.7
"67" 5 77 3.7
"68" 6 55 1.8
"69" 6 75 4.6
"70" 6 73 3.5
"71" 6 70 4
"72" 6 83 3.7
"73" 6 50 1.7
"74" 6 95 4.6
"75" 6 51 1.7
"76" 6 82 4
"77" 6 54 1.8
"78" 6 83 4.4
"79" 6 51 1.9
"80" 6 80 4.6
"81" 6 78 2.9
"82" 7 81 3.5
"83" 7 53 2
"84" 7 89 4.3
"85" 7 44 1.8
"86" 7 78 4.1
"87" 7 61 1.8
"88" 7 73 4.7
"89" 7 75 4.2
"90" 7 73 3.9
"91" 7 76 4.3
"92" 7 55 1.8
"93" 7 86 4.5
"94" 7 48 2
"95" 8 77 4.2
"96" 8 73 4.4
"97" 8 70 4.1
"98" 8 88 4.1
"99" 8 75 4
"100" 8 83 4.1
"101" 8 61 2.7
"102" 8 78 4.6
"103" 8 61 1.9
"104" 8 81 4.5
"105" 8 51 2
"106" 8 80 4.8
"107" 8 79 4.1
