"","Average.disposable.income","Children.in.poor.homes","Educational.Deprivation","Overcrowding","Poor.environmental.conditions","Average.mean.literacy.score","Literacy.inequality","Youth.NEET.rate","Low.birth.weight","Infant.mortality","Breastfeeding.rates","Vaccination.rates..pertussis.","Vaccination.rates.measles.","Physical.activity","Mortality.rates","Suicide.rates","Smoking","Drunkenness","Teenage.births","Bullying","Liking.school"
"Australia",20.81322093,11.79135221,2.2,19.7,10.5,520,1.610349213,7.4,6.4,5,92,92.2,94,NA,23.66,8.512646079,NA,NA,14.3,NA,NA
"Austria",22.16244638,6.166094377,0.6,34.01460053,20.15418609,502,1.716941852,6.9,6.8,4.2,96,83,74,19.6,24.57,9.482761048,27.1,18.6,12.3,15.6,38.1
"Belgium",21.40115256,9.97472,1,12.61450478,29.75452638,510.33,1.740257743,6.2,7.8,3.7,71.5,97,88,19.1,28.97,8.977713182,16.7,13.9,7.8,12.2,21.6
"Canada",25.60624512,15.05758531,2.1,NA,NA,529.33,1.573911631,6.1,5.9,5.3,84.5,78,94,23.6,23.43,10.04753517,8.6,18.8,13.2,14,29.5
"Czech Republic",10.84927021,10.27,1.2,58.89934714,29.74859392,502,1.743012402,5.3,6.7,3.4,95.6,98.7,96.6,22,24.92,6.212491765,21.5,16.8,11.4,5.5,11.7
"Denmark",23.17589375,2.74,0.7,17.55296515,20.15146723,501,1.594974222,4.3,4.9,4.4,98,95,96,22.7,22.93,5.942230735,15,24.8,6.6,8,25.6
"Finland",22.02765061,4.17,1,15.22887563,22.8023618,552.67,1.475431888,5.2,4.1,3,93,97,97,24.8,23.54,12.15868685,22,22.4,9.7,8,16.1
"France",18.96038214,7.64,1.2,20.28461913,25.83029828,493,1.728003801,6.2,6.8,3.6,63,98,87.1,13.5,21.04,4.906704257,19,11.2,6.7,13.6,21.4
"Germany",19.89406707,16.28927,0.5,19.9677627,37.37470837,505,1.719702291,4.4,6.8,3.9,96,97.8,94,17,21.23,5.507378351,19.5,15.1,9.8,13.9,34.9
"Greece",17.18364717,13.230296,6.1,54.92205586,25.070654,464,1.722499339,9.8,8.8,3.8,79,88,88,15.5,23.15,1.263026085,16.5,10.3,8.7,22,25.6
"Hungary",9.463130275,8.724202627,2.1,73.30602107,22.21378548,492.33,1.620709864,6.4,8.2,6.2,95.8,99.8,99.8,19.5,25.75,6.806579778,21.5,17.7,20.7,6.6,27.6
"Iceland",22.28685182,8.25,0.4,21.65252618,15.53468756,493.67,1.654064252,NA,3.9,2.3,98,97,94,20.6,16.95,7.841311724,13.5,10.5,16.9,5.4,36.6
"Ireland",22.3646892,16.2994156,2.9,16.42902829,19.30009971,508.67,1.590217406,4.4,4.9,4,41,90,84,31.1,21.97,9.517062801,19.5,16.3,13.5,8.6,24
"Italy",17.18076094,15.5,1.2,47.85160178,32.57736342,468.67,1.752955059,11.2,6.7,4.7,81.1,94.7,87.3,15.1,21.76,2.437998092,20,10,6.8,7.9,12.8
"Japan",22.47970482,13.68803298,5.6,22.54,32.38,517.33,1.652193881,8.4,9.5,2.8,96.6,93,94,NA,18.23,7.72849265,NA,NA,3.7,NA,NA
"Korea",21.65191791,10.74683449,1.8,NA,NA,541.67,1.545776704,NA,4.3,5.3,81.3,97,90.2,NA,22.36,6.784772397,NA,NA,3.7,NA,NA
"Luxembourg",34.24182159,12.39,1.1,16.89318543,25.57423111,485,1.70136067,2.2,4.9,2.6,88,NA,NA,15.2,14.84,6.357193604,19,11.7,8.6,13.8,20.7
"Mexico",5.3350735,22.16451356,13.7,69.6,NA,408.67,1.755798339,NA,8.8,18.8,92,98.1,96.4,18.1,50.23,5.128753653,NA,NA,65.8,NA,NA
"Netherlands",25.04101231,11.52675463,0.6,10.32650318,38.71287446,521,1.614444199,3.9,6.2,4.9,79,95.8,96.3,21.2,20.49,3.496134498,18.5,12.1,4.7,8.5,39.7
"New Zealand",17.19710764,15,2.2,31,NA,524.33,1.676001258,8.5,6.1,5.1,87.8,88.6,82,NA,32.05,15.94956674,NA,NA,23.4,NA,NA
"Norway",28.57437061,4.6,1.3,15.1136708,11.99278944,487,1.692809117,2.5,4.8,3.1,99,91,88,15.6,21.49,10.09402951,10.4,14,9.4,8.3,41.7
"Poland",7.939398926,21.5,2.1,73.95766735,22.8419035,500.33,1.632216885,1.7,6.1,6.4,NA,99,97,17.3,28.13,8.863713432,16.4,19.9,14.5,9.6,21.1
