"AFQT" "Educ" "Income2005"
6.841 12 5500
99.393 16 65000
47.412 12 19000
44.022 14 36000
59.683 14 65000
72.313 16 8000
50.283 13 71000
89.669 13 43000
95.977 13 120000
67.021 17 64000
88.416 16 253043
89.167 16 45300
25.905 12 85000
6.069 13 150432
56.29 12 37000
12.788 12 70000
26.851 12 67000
57.095 15 120000
22.326 12 45000
37.061 12 7200
78.095 19 42000
75.473 12 66309
71.226 14 34000
30.83 12 12000
91.625 17 55500
99.15 14 63000
36.384 13 30000
87.934 16 108000
86.703 18 120000
81.527 18 186135
85.347 16 14657
7.198 9 14000
12.463 12 17000
84.98 16 62000
59.411 14 49000
81.787 12 40000
87.651 16 105000
65.347 16 43000
98.349 15 83000
27.671 16 12000
97.847 16 150000
92.618 17 41000
67.259 14 85000
92.817 16 80000
57.983 12 52000
87.283 16 175829
88.326 16 8000
79.832 15 120000
72.878 17 65000
85.861 18 44768
59.838 14 52000
62.607 12 10000
86.932 12 50000
22.466 14 12000
74.997 12 21800
39.973 12 95000
93.332 12 85000
4.975 11 14000
85.206 17 35100
77.44 14 65000
98.253 18 76000
46.506 12 50000
58.432 13 82000
47.279 13 48000
30.455 12 29000
59.078 16 6000
77.155 12 34000
81.515 18 65000
11.983 10 15000
73.636 18 92000
89.27 19 118000
80.48 16 26000
45.527 16 105000
87.917 18 348204
17.107 12 17000
64.239 18 130000
19.225 12 38000
27.551 12 35000
86.603 16 16000
73.184 14 55000
25.802 12 32000
59.04 16 50000
81.447 16 261763
60.012 20 102000
89.381 20 105000
2.739 9 1600
34.084 15 55000
55.78 14 45000
31.472 12 39000
35.461 12 140000
61.313 15 98000
71.673 13 30000
13.294 10 9000
50.483 12 38000
30.481 12 75000
62.957 12 94600
73.828 12 5000
81.929 14 25000
52.544 20 79000
8.261 14 2000
34.745 11 20000
56.308 13 3000
58.214 12 22000
56.348 12 14000
83.227 14 65000
83.698 16 154541
64.372 15 61500
88.343 13 45000
72.963 14 52000
59.272 12 64500
72.769 18 99000
85.4 16 14000
15.136 12 53000
44.708 12 90000
15.448 10 35000
11.136 10 19000
62.191 12 12000
12.439 11 25000
27.277 14 40000
18.491 12 70000
