"Labor" "Pr1" "Pr2" "Pr3" "Pr4" "Pr5" "Pr6" "Pr7" "Pr8" "Pr9"
"1" "L01" 233 491 428 376 200 364 474 444 351
"2" "L02" 253 530 453 389 191 402 495 453 371
"3" "L03" 240 530 460 390 200 390 480 440 350
"4" "L04" 243 518 456 389 186 385 483 459 369
"5" "L05" 244 521 446 392 193 385 481 451 357
"6" "L06" 257 547 459 407 198 382 502 462 466
"7" "L07" 252 477 414 391 190 366 456 387 339
"8" "L08" 263 530 458 420 221 389 493 475 378
"9" "L09" 262 530 454 408 182 388 496 468 382
"10" "L10" 260 554 472 426 211 404 488 483 383
"11" "L11" 243 527 444 369 163 393 492 456 351
"12" "L12" 226 470 416 373 178 347 445 323 387
"13" "L13" 239 529 425 375 188 357 460 430 335
"14" "L14" 239 501 422 402 171 337 444 416 363
"15" "L15" 296 732 548 562 167 552 642 639 431
"16" "L16" 252 521 460 405 208 416 497 467 373
"17" "L17" 218 489 430 369 187 366 456 414 338
"18" "L18" 216 480 416 357 179 369 450 423 319
"19" "L19" 250 500 470 390 210 390 490 450 380
"20" "L20" 223 495 403 361 173 353 442 416 325
"21" "L21" 260 268 378 223 157 557 110 493 819
