"Zeit","anomalies"
1850-01-01,-3.105
1850-02-01,0.632
1850-03-01,-1.336
1850-04-01,-1.436
1850-05-01,-1.052
1850-06-01,0.311
1850-07-01,0.393
1850-08-01,0.802
1850-09-01,-0.465
1850-10-01,-1.313
1850-11-01,-0.385
1850-12-01,-0.338
1851-01-01,0.257
1851-02-01,-0.391
1851-03-01,-1.47
1851-04-01,-0.684
1851-05-01,-0.281
1851-06-01,0.022
1851-07-01,-0.136
1851-08-01,0.292
1851-09-01,0.302
1851-10-01,0.354
1851-11-01,-0.566
1851-12-01,-0.448
1852-01-01,-0.214
1852-02-01,-0.453
1852-03-01,-1.36
1852-04-01,-2.028
1852-05-01,-0.004
1852-06-01,0.088
1852-07-01,0.135
1852-08-01,0.141
1852-09-01,-0.167
1852-10-01,-0.569
1852-11-01,-0.779
1852-12-01,1.221
1853-01-01,0.845
1853-02-01,-0.983
1853-03-01,-1.657
1853-04-01,-1.234
1853-05-01,-0.288
1853-06-01,0.01
1853-07-01,0.46
1853-08-01,0.399
1853-09-01,-0.583
1853-10-01,-0.011
1853-11-01,-0.906
1853-12-01,-1.904
1854-01-01,-1.228
1854-02-01,-0.447
1854-03-01,-0.239
1854-04-01,-1.036
1854-05-01,0.298
1854-06-01,-0.423
1854-07-01,0.565
1854-08-01,0.429
1854-09-01,-0.002
1854-10-01,0.647
1854-11-01,-0.857
1854-12-01,0.408
1855-01-01,-0.502
1855-02-01,-2.159
1855-03-01,-1.23
1855-04-01,0.232
1855-05-01,0.215
1855-06-01,-0.048
1855-07-01,0.263
1855-08-01,0.069
1855-09-01,-0.573
1855-10-01,-0.004
1855-11-01,-0.977
1855-12-01,-2.641
1856-01-01,0.009
1856-02-01,-0.809
1856-03-01,-2.015
1856-04-01,-0.422
1856-05-01,-0.529
1856-06-01,0.527
1856-07-01,-0.083
1856-08-01,-0.345
1856-09-01,-0.731
1856-10-01,-0.789
1856-11-01,-1.929
1856-12-01,-0.217
1857-01-01,-1.257
1857-02-01,-0.121
1857-03-01,-0.857
1857-04-01,-1.695
1857-05-01,-1.033
1857-06-01,-0.306
1857-07-01,-0.172
1857-08-01,0.211
1857-09-01,-0.53
1857-10-01,-0.371
1857-11-01,-1.123
1857-12-01,0.774
1858-01-01,-0.081
1858-02-01,-1.949
1858-03-01,-1.088
1858-04-01,-0.327
1858-05-01,-0.257
1858-06-01,0.534
1858-07-01,0.365
1858-08-01,-0.176
1858-09-01,-0.096
1858-10-01,0.34
1858-11-01,-2.313
1858-12-01,-0.174
1859-01-01,0.229
1859-02-01,0.795
1859-03-01,0.302
1859-04-01,0.022
1859-05-01,0.27
1859-06-01,0.098
1859-07-01,0.45
1859-08-01,0.341
1859-09-01,-0.332
1859-10-01,-0.311
1859-11-01,-0.246
1859-12-01,-1.485
1860-01-01,0.096
1860-02-01,-1.474
1860-03-01,-2.266
1860-04-01,-0.546
1860-05-01,-0.07
1860-06-01,0.215
1860-07-01,-0.211
1860-08-01,-0.104
1860-09-01,-0.197
1860-10-01,-0.407
1860-11-01,-1.674
1860-12-01,-2.359
1861-01-01,-2.814
1861-02-01,0.349
1861-03-01,0.035
1861-04-01,-1.254
1861-05-01,-1.123
1861-06-01,0.206
1861-07-01,0.299
1861-08-01,0.341
1861-09-01,-0.308
1861-10-01,-0.222
1861-11-01,-0.618
1861-12-01,-0.329
1862-01-01,-1.78
1862-02-01,-1.886
1862-03-01,-0.797
1862-04-01,-0.204
1862-05-01,-0.131
1862-06-01,-0.534
1862-07-01,-0.36
1862-08-01,-0.545
1862-09-01,-0.26
1862-10-01,-0.457
