Date	Close	Volume
2012-10-19	27,74	1027302
2012-10-22	27,85	470198
2012-10-23	28,39	748998
2012-10-24	27,42	1016368
2012-10-25	27,52	577686
2012-10-26	27,38	477305
2012-10-31	28,1314	775142
2012-11-01	29,2454	1024054
2012-11-02	28,9182	1030265
2012-11-05	31,5	2048767
2012-11-06	31,15	2323743
2012-11-07	31,54	1714469
2012-11-08	31,31	1273986
2012-11-09	30,32	862928
2012-11-12	31,07	555896
2012-11-13	31,6143	998263
2012-11-14	31,38	871215
2012-11-15	30,82	983841
2012-11-16	31,8399	908650
2012-11-19	32,92	1392168
2012-11-20	33	922427
2012-11-21	32,47	963133
2012-11-23	32,13	430212
2012-11-26	32,27	495739
2012-11-27	32,15	910770
2012-11-28	33,23	1525199
2012-11-29	33,69	1103315
2012-11-30	33,82	1420284
2012-12-03	34,62	2085639
2012-12-04	33,9	1263240
2012-12-05	33,71	661486
2012-12-06	33,9	657256
2012-12-07	34,17	664386
2012-12-10	34,57	929751
2012-12-11	35,28	1572310
2012-12-12	35,26	2063727
2012-12-13	33,61	2150624
2012-12-14	33,81	1022743
2012-12-17	34,4	824809
2012-12-18	34,59	1553836
2012-12-19	34,61	1269531
2012-12-20	34,43	921194
2012-12-21	34	1492306
2012-12-24	34,28	375796
2012-12-26	33,59	601384
2012-12-27	33,69	561085
2012-12-28	33,22	414035
2012-12-31	33,87	594846
2013-01-02	35,36	1194710
2013-01-03	34,77	741941
2013-01-04	34,4	673993
2013-01-07	34,34	441909
2013-01-08	33,68	1283743
2013-01-09	33,64	697979
2013-01-10	33,53	922405
2013-01-11	32,91	1562974
2013-01-14	33,26	925018
2013-01-15	33,9	1623845
2013-01-16	34,1	1378138
2013-01-17	34,38	1436604
2013-01-18	34,52	3555074
2013-01-22	35,19	1920131
2013-01-23	36	1563452
2013-01-24	36,99	1970389
2013-01-25	36,98	1287703
2013-01-28	38,03	1985892
2013-01-29	37,95	1426503
2013-01-30	37,52	968098
2013-01-31	37,51	901318
2013-02-01	38,3	1100390
2013-02-04	37,74	1127989
2013-02-05	38,13	1310192
2013-02-06	39,17	1892848
2013-02-07	39,48	1196521
2013-02-08	39,24	1139533
2013-02-11	38,42	3265648
2013-02-12	37,89	2260409
2013-02-13	38,45	966802
2013-02-14	38,3	990640
2013-02-15	37,04	2017449
2013-02-19	39,28	2700540
2013-02-20	38,54	3078371
2013-02-21	35,16	9035810
2013-02-22	36,11	2545223
2013-02-25	34,38	2889237
2013-02-26	34,43	2762900
2013-02-27	35,1	1959129
2013-02-28	34,83	1964893
2013-03-01	34,65	1546400
2013-03-04	35,58	1757660
2013-03-05	36,65	2086969
2013-03-06	37,69	1149925
2013-03-07	38,23	1158254
2013-03-08	38,47	912052
2013-03-11	39,1	1579440
2013-03-12	39,12	1274426
2013-03-13	38,98	821986
2013-03-14	36,85	2020811
2013-03-15	35,29	3279577
2013-03-18	35,15	1316036
2013-03-19	35,08	1083765
2013-03-20	35,95	1422984
2013-03-21	36,01	1146287
2013-03-22	36,62	442535
2013-03-25	37,53	2375218
2013-03-26	37,86	1805587
2013-03-27	38,16	1296283
2013-03-28	37,89	1158652
2013-04-01	43,93	14088400
2013-04-02	44,34	6600998
2013-04-03	41,1	5643205
2013-04-04	42,01	2264742
2013-04-05	41,37	1552097
2013-04-08	41,83	1679001
2013-04-09	40,5	1696036
2013-04-10	41,86	2121088
2013-04-11	43,59	3446342
2013-04-12	43,75	3149372
2013-04-15	43,3	1677780
2013-04-16	45,59	3180338
2013-04-17	45,45	2118428
2013-04-18	46,97	3367887
2013-04-19	47,83	3011536
2013-04-22	50,19	3939327
2013-04-23	51,01	3733250
2013-04-24	50,43	2629908
2013-04-25	52	2795635
2013-04-26	51,2	3620350
2013-04-29	54,94	3638381
2013-04-30	53,99	5522548
2013-05-01	53,28	2742593
2013-05-02	54,11	3045669
2013-05-03	54,55	3378303
2013-05-06	59,5	4365030
2013-05-07	55,51	9985041
2013-05-08	55,7865	5838969
2013-05-09	69,4	28551660
2013-05-10	76,764	25072050
2013-05-13	87,8	22343570
2013-05-14	83,24	37103240
2013-05-15	84,842	16642860
2013-05-16	92,248	21577970
2013-05-17	91,5	18986880
2013-05-20	89,94	8326361
2013-05-21	87,59	8996046
2013-05-22	87,24	8564386
2013-05-23	92,73	12015700
2013-05-24	97,08	16077980
2013-05-28	110,334	19596090
